"symbol","type","database"
"C1QA","predicted secreted protein","HPA"
"C1QA","predicted secreted protein","VerSeDa"
"C1QB","predicted secreted protein","HPA"
"C1QBP","predicted secreted protein","HPA"
"C1QC","predicted secreted protein","HPA"
"C1QC","predicted secreted protein","VerSeDa"
"C1QL1","predicted secreted protein","HPA"
"C1QL2","predicted secreted protein","HPA"
"C1QL3","predicted secreted protein","HPA"
"C1QL4","predicted secreted protein","HPA"
"C1QTNF1","predicted secreted protein","HPA"
"C1QTNF1","predicted secreted protein","VerSeDa"
"C1QTNF12","hormones_&_receptors","Online resource"
"C1QTNF12","predicted secreted protein","HPA"
"C1QTNF2","predicted secreted protein","HPA"
"C1QTNF3","predicted secreted protein","HPA"
"C1QTNF3","predicted secreted protein","VerSeDa"
"C1QTNF4","predicted secreted protein","HPA"
"C1QTNF4","predicted secreted protein","VerSeDa"
"C1QTNF5","predicted secreted protein","HPA"
"C1QTNF6","predicted secreted protein","HPA"
"C1QTNF7","predicted secreted protein","HPA"
"C1QTNF8","predicted secreted protein","HPA"
"C1QTNF8","predicted secreted protein","VerSeDa"
"C1QTNF9","hormones_&_receptors","Online resource"
"C1QTNF9","predicted secreted protein","HPA"
"C1QTNF9B","predicted secreted protein","HPA"
"C1QTNF9B","secreted protein","NABA"
"C1RL","predicted secreted protein","HPA"
"C1S","predicted secreted protein","HPA"
"C2","predicted secreted protein","HPA"
"C2","predicted secreted protein","VerSeDa"
"C21orf62","predicted secreted protein","HPA"
"C22orf15","predicted secreted protein","HPA"
"C2CD2L","hormones_&_receptors","Online resource"
"C2orf66","predicted secreted protein","HPA"
"C2orf69","predicted secreted protein","HPA"
"C3","predicted secreted protein","HPA"
"C3","cytokin/chemokine_&_receptors","GSEA"
"C3orf33","predicted secreted protein","HPA"
"C4A","predicted secreted protein","HPA"
"C4B","predicted secreted protein","HPA"
"C4BPA","predicted secreted protein","HPA"
"C4BPB","predicted secreted protein","HPA"
"C4BPB","predicted secreted protein","VerSeDa"
"C4orf48","predicted secreted protein","HPA"
"C5","predicted secreted protein","HPA"
"C5","cytokin/chemokine_&_receptors","GSEA"
"C5orf38","predicted secreted protein","VerSeDa"
"C5orf46","predicted secreted protein","HPA"
"C6","predicted secreted protein","HPA"
"C6orf120","predicted secreted protein","HPA"
"C6orf15","predicted secreted protein","HPA"
"C6orf15","predicted secreted protein","VerSeDa"
"C6orf58","predicted secreted protein","HPA"
"C7","predicted secreted protein","HPA"
"C8A","predicted secreted protein","HPA"
"C8A","predicted secreted protein","VerSeDa"
"C8B","predicted secreted protein","HPA"
"C8G","predicted secreted protein","HPA"
"C8G","predicted secreted protein","VerSeDa"
"C9","predicted secreted protein","HPA"
"C9orf72","predicted secreted protein","VerSeDa"
"CA10","predicted secreted protein","HPA"
"CA11","predicted secreted protein","HPA"
"CA6","predicted secreted protein","HPA"
"CA6","predicted secreted protein","VerSeDa"
"CADM4","growth_factors_&_receptors","Online resource"
"CADM4","growth_factors_&_receptors","GOMF"
"CALCA","hormones_&_receptors","Online resource"
"CALCA","predicted secreted protein","HPA"
"CALCA","predicted secreted protein","VerSeDa"
"CALCA","cytokin/chemokine_&_receptors","GSEA"
"CALCB","hormones_&_receptors","Online resource"
"CALCB","predicted secreted protein","HPA"
"CALCB","cytokin/chemokine_&_receptors","GSEA"
